,Open,Low,High,Close,DayOfWeek,Is_Imputed,Daily_Return
2019-01-16,114500.0,114350.0,114600.0,114500.0,Wednesday,False,0.01777777777777767
2019-01-17,115900.0,115900.0,115900.0,115900.0,Thursday,False,0.012227074235807933
2019-01-18,115900.0,115900.0,115900.0,115900.0,Friday,True,0.0
2019-01-19,114500.0,114300.0,114550.0,114500.0,Saturday,False,-0.012079378774805916
2019-01-20,114400.0,114300.0,114500.0,114500.0,Sunday,False,0.0
2019-01-21,116500.0,116300.0,116500.0,116300.0,Monday,False,0.015720524017467152
2019-01-22,116500.0,116250.0,116500.0,116500.0,Tuesday,False,0.0017196904557179593
2019-01-23,115400.0,115200.0,115450.0,115400.0,Wednesday,False,-0.009442060085836923
2019-01-24,115100.0,115000.0,115100.0,115000.0,Thursday,False,-0.0034662045060658286
2019-01-25,115100.0,115000.0,115100.0,115000.0,Friday,True,0.0
2019-01-26,115100.0,115100.0,118500.0,116500.0,Saturday,False,0.01304347826086949
2019-01-27,117900.0,117750.0,117950.0,117900.0,Sunday,False,0.012017167381974225
2019-01-28,118500.0,117800.0,118500.0,118000.0,Monday,False,0.0008481764206955678
2019-01-29,118900.0,117900.0,118900.0,118300.0,Tuesday,False,0.0025423728813558366
2019-01-30,119500.0,119300.0,119600.0,119450.0,Wednesday,False,0.009721048182586678
2019-01-31,119000.0,118350.0,119000.0,118500.0,Thursday,False,-0.007953118459606556
2019-02-01,119000.0,118350.0,119000.0,118500.0,Friday,True,0.0
2019-02-02,115500.0,112700.0,115500.0,113000.0,Saturday,False,-0.04641350210970463
2019-02-03,110000.0,109700.0,110000.0,110000.0,Sunday,False,-0.026548672566371723
2019-02-04,114500.0,114400.0,116550.0,116500.0,Monday,False,0.05909090909090908
2019-02-05,118500.0,117300.0,118600.0,117500.0,Tuesday,False,0.008583690987124415
2019-02-06,118500.0,118200.0,118600.0,118500.0,Wednesday,False,0.008510638297872353
2019-02-07,116500.0,116450.0,116600.0,116450.0,Thursday,False,-0.017299578059071785
2019-02-08,116500.0,116450.0,116600.0,116450.0,Friday,True,0.0
2019-02-09,116500.0,116450.0,116600.0,116450.0,Saturday,True,0.0
2019-02-10,116500.0,116500.0,117200.0,117100.0,Sunday,False,0.005581794761700287
2019-02-11,116500.0,116500.0,117200.0,117100.0,Monday,True,0.0
2019-02-12,118000.0,118000.0,119000.0,119000.0,Tuesday,False,0.016225448334756587
2019-02-13,119300.0,119100.0,119300.0,119300.0,Wednesday,False,0.0025210084033613356
2019-02-14,118500.0,118300.0,118500.0,118500.0,Thursday,False,-0.0067057837384744134
2019-02-15,118500.0,118300.0,118500.0,118500.0,Friday,True,0.0
2019-02-16,118400.0,118300.0,123000.0,121000.0,Saturday,False,0.021097046413502074
2019-02-17,122500.0,122550.0,123600.0,123500.0,Sunday,False,0.02066115702479343
2019-02-18,123600.0,123600.0,129000.0,129000.0,Monday,False,0.044534412955465674
2019-02-19,128000.0,127800.0,128000.0,128000.0,Tuesday,False,-0.007751937984496138
2019-02-20,129900.0,122800.0,129900.0,129700.0,Wednesday,False,0.013281249999999911
2019-02-21,129600.0,129600.0,129700.0,129700.0,Thursday,False,0.0
2019-02-22,129600.0,129600.0,129700.0,129700.0,Friday,True,0.0
2019-02-23,125000.0,125000.0,125000.0,125000.0,Saturday,False,-0.03623747108712416
2019-02-24,136500.0,136500.0,136500.0,136500.0,Sunday,False,0.09200000000000008
2019-02-25,135500.0,134500.0,135500.0,134500.0,Monday,False,-0.0146520146520146
2019-02-26,133500.0,133000.0,133500.0,133000.0,Tuesday,False,-0.01115241635687736
2019-02-27,132500.0,132500.0,132800.0,132500.0,Wednesday,False,-0.003759398496240629
2019-02-28,132000.0,132000.0,132000.0,132000.0,Thursday,False,-0.0037735849056603765
2019-03-01,132000.0,132000.0,132000.0,132000.0,Friday,True,0.0
2019-03-02,134500.0,134400.0,134500.0,134500.0,Saturday,False,0.018939393939394034
2019-03-03,133000.0,129800.0,133000.0,129860.0,Sunday,False,-0.034498141263940574
2019-03-04,130040.0,126850.0,130040.0,127070.0,Monday,False,-0.021484675804712805
2019-03-05,126020.0,125850.0,126100.0,125980.0,Tuesday,False,-0.008577949161879261
2019-03-06,125950.0,125900.0,132550.0,131540.0,Wednesday,False,0.04413398952214642
2019-03-07,131560.0,130360.0,131570.0,130370.0,Thursday,False,-0.008894632811312198
2019-03-08,131560.0,130360.0,131570.0,130370.0,Friday,True,0.0
2019-03-09,131890.0,131360.0,132070.0,131510.0,Saturday,False,0.00874434302370175
2019-03-10,131460.0,130360.0,131570.0,130420.0,Sunday,False,-0.00828834309178006
2019-03-11,129440.0,128930.0,129550.0,129050.0,Monday,False,-0.01050452384603584
2019-03-12,128970.0,128430.0,129050.0,128470.0,Tuesday,False,-0.004494382022471877
2019-03-13,128490.0,128430.0,128550.0,128550.0,Wednesday,False,0.0006227134739626994
2019-03-14,132040.0,130930.0,132050.0,131020.0,Thursday,False,0.019214313496694002
2019-03-15,132040.0,130930.0,132050.0,131020.0,Friday,True,0.0
2019-03-16,130840.0,129800.0,139560.0,129850.0,Saturday,False,-0.00892993436116618
2019-03-17,129930.0,128800.0,129960.0,128830.0,Sunday,False,-0.00785521755872165
2019-03-18,128920.0,128800.0,128960.0,128890.0,Monday,False,0.0004657300318249291
2019-03-19,128950.0,128800.0,128960.0,128940.0,Tuesday,False,0.00038792769027851115
2019-03-20,128950.0,128800.0,128960.0,128940.0,Wednesday,True,0.0
2019-03-21,128950.0,128800.0,128960.0,128940.0,Thursday,True,0.0
2019-03-22,128950.0,128800.0,128960.0,128940.0,Friday,True,0.0
2019-03-23,128950.0,128800.0,128960.0,128940.0,Saturday,True,0.0
2019-03-24,128950.0,128800.0,128960.0,128940.0,Sunday,True,0.0
2019-03-25,129550.0,129410.0,129560.0,129520.0,Monday,False,0.00449821622460056
2019-03-26,129490.0,129400.0,129560.0,129510.0,Tuesday,False,-7.72081531810187e-05
2019-03-27,129560.0,129400.0,129560.0,129420.0,Wednesday,False,-0.0006949270326616075
2019-03-28,129540.0,129380.0,133600.0,131890.0,Thursday,False,0.019085149126873757
2019-03-29,129540.0,129380.0,133600.0,131890.0,Friday,True,0.0
2019-03-30,131980.0,131880.0,132100.0,132000.0,Saturday,False,0.0008340283569641116
2019-03-31,131940.0,131890.0,132000.0,132000.0,Sunday,False,0.0
2019-04-01,131940.0,131890.0,132000.0,132000.0,Monday,True,0.0
2019-04-02,131940.0,131890.0,132000.0,132000.0,Tuesday,True,0.0
2019-04-03,131940.0,131890.0,132000.0,132000.0,Wednesday,True,0.0
2019-04-04,131890.0,131890.0,132000.0,132000.0,Thursday,False,0.0
2019-04-05,131890.0,131890.0,132000.0,132000.0,Friday,True,0.0
2019-04-06,131980.0,131890.0,132000.0,131900.0,Saturday,False,-0.0007575757575757347
2019-04-07,131930.0,131890.0,138010.0,133910.0,Sunday,False,0.015238817285822659
2019-04-08,133900.0,133890.0,136900.0,136900.0,Monday,False,0.02232842954222991
2019-04-09,136870.0,136790.0,141800.0,141750.0,Tuesday,False,0.03542731921110298
2019-04-10,141760.0,137390.0,141800.0,137500.0,Wednesday,False,-0.029982363315696703
2019-04-11,137380.0,137290.0,137400.0,137310.0,Thursday,False,-0.0013818181818181507
2019-04-12,137380.0,137290.0,137400.0,137310.0,Friday,True,0.0
2019-04-13,137400.0,129790.0,137400.0,136000.0,Saturday,False,-0.009540455902701916
2019-04-14,135900.0,134390.0,136000.0,134500.0,Sunday,False,-0.011029411764705843
2019-04-15,134450.0,134390.0,136900.0,136900.0,Monday,False,0.01784386617100364
2019-04-16,136870.0,134040.0,136900.0,135430.0,Tuesday,False,-0.010737764791818871
2019-04-17,135480.0,133890.0,135500.0,134010.0,Wednesday,False,-0.010485121464963498
2019-04-18,133990.0,133900.0,134950.0,134790.0,Thursday,False,0.005820461159614876
2019-04-19,133990.0,133900.0,134950.0,134790.0,Friday,True,0.0
2019-04-20,134870.0,134650.0,135600.0,135460.0,Saturday,False,0.0049706951554269185
2019-04-21,134870.0,134650.0,135600.0,135460.0,Sunday,True,0.0
2019-04-22,135590.0,135350.0,137600.0,137600.0,Monday,False,0.015798021556179043
2019-04-23,137440.0,137350.0,139100.0,137920.0,Tuesday,False,0.0023255813953488857
2019-04-24,137930.0,137850.0,138100.0,137990.0,Wednesday,False,0.0005075406032482022
2019-04-25,137970.0,137850.0,138800.0,138120.0,Thursday,False,0.0009420972534242011
2019-04-26,137970.0,137850.0,138800.0,138120.0,Friday,True,0.0
2019-04-27,138140.0,138050.0,138900.0,138460.0,Saturday,False,0.0024616275702287194
2019-04-28,138580.0,138350.0,141600.0,141470.0,Sunday,False,0.021739130434782705
2019-04-29,141540.0,141350.0,142000.0,141510.0,Monday,False,0.00028274545840112353
2019-04-30,141550.0,140350.0,141600.0,140520.0,Tuesday,False,-0.0069959720161119066
2019-05-01,140530.0,140350.0,142550.0,142500.0,Wednesday,False,0.014090520922288574
2019-05-02,142530.0,142340.0,142550.0,142410.0,Thursday,False,-0.0006315789473684275
2019-05-03,142530.0,142340.0,142550.0,142410.0,Friday,True,0.0
2019-05-04,142500.0,142340.0,145000.0,144960.0,Saturday,False,0.01790604592374123
2019-05-05,144930.0,144840.0,149000.0,147450.0,Sunday,False,0.01717715231788075
2019-05-06,147500.0,146360.0,147500.0,147000.0,Monday,False,-0.003051881993896277
2019-05-07,146950.0,146840.0,149500.0,149480.0,Tuesday,False,0.016870748299319782
2019-05-08,149360.0,149360.0,149900.0,149900.0,Wednesday,False,0.0028097404335027942
2019-05-09,149840.0,149740.0,153500.0,153500.0,Thursday,False,0.024016010673782562
2019-05-10,149840.0,149740.0,153500.0,153500.0,Friday,True,0.0
2019-05-11,153400.0,149340.0,153500.0,149500.0,Saturday,False,-0.026058631921824116
2019-05-12,149390.0,146340.0,149500.0,146500.0,Sunday,False,-0.02006688963210701
2019-05-13,146430.0,146340.0,148500.0,148360.0,Monday,False,0.01269624573378847
2019-05-14,148500.0,148340.0,148500.0,148500.0,Tuesday,False,0.0009436505796711625
2019-05-15,148440.0,148340.0,149000.0,148430.0,Wednesday,False,-0.0004713804713805114
2019-05-16,148500.0,146340.0,148500.0,146470.0,Thursday,False,-0.013204877720137453
2019-05-17,148500.0,146340.0,148500.0,146470.0,Friday,True,0.0
2019-05-18,146410.0,145340.0,146500.0,145500.0,Saturday,False,-0.0066225165562914245
2019-05-19,145350.0,144840.0,146500.0,145000.0,Sunday,False,-0.0034364261168384758
2019-05-20,144980.0,137340.0,145000.0,137500.0,Monday,False,-0.051724137931034475
2019-05-21,137460.0,137340.0,137500.0,137470.0,Tuesday,False,-0.00021818181818178406
2019-05-22,137500.0,137350.0,139500.0,139500.0,Wednesday,False,0.014766858223612456
2019-05-23,139370.0,139340.0,140500.0,140460.0,Thursday,False,0.006881720430107485
2019-05-24,139370.0,139340.0,140500.0,140460.0,Friday,True,0.0
2019-05-25,140340.0,139540.0,140500.0,139570.0,Saturday,False,-0.00633632350847213
2019-05-26,139700.0,138340.0,139700.0,138500.0,Sunday,False,-0.007666403955004619
2019-05-27,139700.0,138340.0,139700.0,138500.0,Monday,True,0.0
2019-05-28,138000.0,137340.0,138000.0,137500.0,Tuesday,False,-0.0072202166064981865
2019-05-29,137360.0,132340.0,137500.0,134000.0,Wednesday,False,-0.025454545454545507
2019-05-30,133970.0,133840.0,135500.0,135370.0,Thursday,False,0.010223880597014956
2019-05-31,133970.0,133840.0,135500.0,135370.0,Friday,True,0.0
2019-06-01,135500.0,135340.0,135500.0,135500.0,Saturday,False,0.0009603309448178443
2019-06-02,135470.0,132370.0,135500.0,132390.0,Sunday,False,-0.02295202952029518
2019-06-03,132500.0,130870.0,132540.0,130980.0,Monday,False,-0.010650351234987587
2019-06-04,132500.0,130870.0,132540.0,130980.0,Tuesday,True,0.0
2019-06-05,132500.0,130870.0,132540.0,130980.0,Wednesday,True,0.0
2019-06-06,132500.0,130870.0,132540.0,130980.0,Thursday,True,0.0
2019-06-07,132500.0,130870.0,132540.0,130980.0,Friday,True,0.0
2019-06-08,131870.0,130850.0,132040.0,130900.0,Saturday,False,-0.0006107802717971733
2019-06-09,130910.0,126890.0,131020.0,126970.0,Sunday,False,-0.03002291825821235
2019-06-10,127000.0,127000.0,128640.0,128450.0,Monday,False,0.01165629676301494
2019-06-11,130860.0,12850.0,131040.0,128880.0,Tuesday,False,0.0033476060724018097
2019-06-12,129000.0,128840.0,129000.0,129000.0,Wednesday,False,0.0009310986964619072
2019-06-13,129000.0,128840.0,129000.0,129000.0,Thursday,True,0.0
2019-06-14,129000.0,128840.0,129000.0,129000.0,Friday,True,0.0
2019-06-15,129500.0,129340.0,129500.0,129360.0,Saturday,False,0.0027906976744185297
2019-06-16,129350.0,129340.0,135000.0,134940.0,Sunday,False,0.04313543599257885
2019-06-17,134980.0,133340.0,135050.0,133360.0,Monday,False,-0.011708907662664858
2019-06-18,133390.0,131840.0,133550.0,132020.0,Tuesday,False,-0.010047990401919615
2019-06-19,131850.0,130840.0,132050.0,130950.0,Wednesday,False,-0.008104832601121048
2019-06-20,132000.0,130890.0,132000.0,132000.0,Thursday,False,0.008018327605956443
2019-06-21,132000.0,130890.0,132000.0,132000.0,Friday,True,0.0
2019-06-22,131980.0,129890.0,132000.0,130000.0,Saturday,False,-0.015151515151515138
2019-06-23,129970.0,129890.0,130000.0,130000.0,Sunday,False,0.0
2019-06-24,129910.0,129890.0,132000.0,131890.0,Monday,False,0.014538461538461611
2019-06-25,131930.0,130400.0,132000.0,131000.0,Tuesday,False,-0.006748047615437125
2019-06-26,129500.0,129390.0,129500.0,129400.0,Wednesday,False,-0.012213740458015265
2019-06-27,129420.0,129390.0,129500.0,129500.0,Thursday,False,0.0007727975270479526
2019-06-28,129420.0,129390.0,129500.0,129500.0,Friday,True,0.0
2019-06-29,129420.0,129390.0,129500.0,129500.0,Saturday,True,0.0
2019-06-30,129450.0,128390.0,129550.0,128500.0,Sunday,False,-0.007722007722007707
2019-07-01,128440.0,126890.0,128500.0,127000.0,Monday,False,-0.011673151750972721
2019-07-02,126960.0,126890.0,128000.0,128000.0,Tuesday,False,0.007874015748031482
2019-07-03,127940.0,127390.0,128000.0,127450.0,Wednesday,False,-0.004296874999999978
2019-07-04,127500.0,127390.0,127500.0,127500.0,Thursday,False,0.0003923107100822776
2019-07-05,127500.0,127390.0,127500.0,127500.0,Friday,True,0.0
2019-07-06,127430.0,127390.0,129500.0,129400.0,Saturday,False,0.014901960784313717
2019-07-07,129440.0,128890.0,130000.0,128980.0,Sunday,False,-0.0032457496136012454
2019-07-08,129000.0,127890.0,129000.0,127910.0,Monday,False,-0.008295859823228446
2019-07-09,128000.0,127390.0,128000.0,127430.0,Tuesday,False,-0.0037526385739973245
2019-07-10,127480.0,127390.0,127500.0,127480.0,Wednesday,False,0.0003923722828218512
2019-07-11,127420.0,127390.0,127500.0,127460.0,Thursday,False,-0.00015688735487917604
2019-07-12,127420.0,127390.0,127500.0,127460.0,Friday,True,0.0
2019-07-13,126940.0,125890.0,127000.0,126000.0,Saturday,False,-0.011454573983994965
2019-07-14,125910.0,124890.0,126000.0,125000.0,Sunday,False,-0.007936507936507908
2019-07-15,124890.0,120890.0,125000.0,121000.0,Monday,False,-0.03200000000000003
2019-07-16,120900.0,118890.0,121000.0,118890.0,Tuesday,False,-0.017438016528925626
2019-07-17,119000.0,111890.0,119000.0,113890.0,Wednesday,False,-0.04205568172260077
2019-07-18,114890.0,114890.0,115000.0,115000.0,Thursday,False,0.009746246378084189
2019-07-19,114890.0,114890.0,115000.0,115000.0,Friday,True,0.0
2019-07-20,114900.0,114890.0,117000.0,116480.0,Saturday,False,0.012869565217391354
2019-07-21,116500.0,116390.0,119000.0,118970.0,Sunday,False,0.021377060439560447
2019-07-22,118950.0,118890.0,119000.0,119000.0,Monday,False,0.00025216441119613187
2019-07-23,119980.0,119890.0,123000.0,123000.0,Tuesday,False,0.03361344537815136
2019-07-24,122890.0,121890.0,124000.0,121930.0,Wednesday,False,-0.00869918699186989
